gene_id	utr_start	overlapping_sites_count
8473	194	1
8473	194	1
8473	329	1
8473	329	1
17845	249	1
17845	249	1
17845	265	1
17845	265	1
17845	130	4
17845	130	4
17845	130	4
17845	130	4
17845	130	4
8839	96	0
10852	218	1
10852	218	1
19237	41	1
19237	41	1
10790	152	1
10790	152	1
11436	212	0
11436	137	1
11436	137	1
4460	50	1
4460	50	1
18083	115	0
18083	79	1
18083	79	1
15472	364	1
15472	364	1
15472	237	1
15472	237	1
15504	324	0
15504	264	0
15504	95	1
15504	95	1
15504	122	1
15504	122	1
16724	331	1
16724	331	1
18183	313	4
18183	313	4
18183	313	4
18183	313	4
18183	313	4
18613	128	1
18613	128	1
10213	204	3
10213	204	3
10213	206	3
10213	206	3
11582	379	4
11582	379	4
11582	379	4
11582	379	4
11582	379	4
1403	221	1
1403	221	1
4998	501	3
4998	501	3
4998	499	3
4998	499	3
11300	167	1
11300	167	1
11300	69	1
11300	69	1
8571	35	1
8571	35	1
9315	192	4
9315	192	4
9315	192	4
9315	192	4
9315	192	4
16852	30	1
16852	30	1
10335	134	1
10335	134	1
10335	225	0
7704	495	1
7704	495	1
7751	168	1
7751	168	1
18506	123	1
18506	123	1
18506	33	0
18457	234	9
18457	234	9
18457	234	9
18457	234	9
18457	234	9
18457	234	9
18457	234	9
18457	234	9
18457	229	9
18457	229	9
18457	82	1
18457	82	1
18457	57	1
18457	57	1
8739	381	0
8739	641	0
12554	109	0
12554	496	1
12554	496	1
10244	21	7
10244	21	7
10244	21	7
10244	21	7
10244	21	7
10244	21	7
10244	21	7
10244	21	7
10244	126	0
10244	188	1
10244	188	1
12222	16	1
12222	16	1
12222	194	1
12222	194	1
17980	34	1
17980	34	1
4825	104	1
4825	104	1
4825	51	1
4825	51	1
1838	65	0
10051	160	0
10051	93	2
10051	93	2
10051	93	2
18271	192	7
18271	192	7
18271	192	7
18271	192	7
18271	192	7
18271	192	7
18271	192	7
18271	192	7
18271	99	1
18271	99	1
2766	60	0
11741	331	2
11741	331	2
11741	331	2
11622	364	1
11622	364	1
11622	98	1
11622	98	1
3485	81	1
3485	81	1
3485	181	0
16338	414	1
16338	414	1
16338	42	1
16338	42	1
11635	83	1
11635	83	1
11635	240	1
11635	240	1
11635	32	0
12970	74	0
12468	16	0
1238	194	2
1238	194	2
1238	194	2
10479	139	1
10479	139	1
10479	327	0
10479	70	1
10479	70	1
10479	296	2
10479	296	2
10479	296	2
13827	69	1
13827	69	1
12717	216	1
12717	216	1
12717	261	1
12717	261	1
18252	52	4
18252	52	4
18252	52	4
18252	52	4
18252	52	4
10832	52	0
10628	19	1
10628	19	1
11679	67	0
8111	98	1
8111	98	1
8111	23	0
12751	23	0
11811	186	1
11811	271	1
11811	186	1
11811	271	1
17861	17	1
17861	17	1
14661	126	1
14661	126	1
14337	155	0
11836	106	0
15446	27	1
15446	27	1
15863	291	1
15863	291	1
15863	561	1
15863	561	1
17485	93	0
4088	250	7
4088	250	7
4088	250	7
4088	250	7
4088	250	7
4088	250	7
4088	250	7
4088	250	7
4088	151	0
15224	24	7
15224	24	7
15224	24	7
15224	24	7
15224	24	7
15224	24	7
15224	24	7
15224	24	7
15224	268	0
12331	167	2
12331	170	2
12331	170	2
12331	324	1
12331	324	1
7302	961	0
7302	419	0
3101	171	1
3101	171	1
13529	70	1
13529	70	1
13529	221	0
16313	27	1
16313	27	1
16313	123	2
16313	123	2
16313	123	2
16313	393	0
14680	116	1
14680	116	1
14680	220	1
14680	208	0
14680	220	1
14680	458	1
14680	458	1
10574	31	4
10574	31	4
10574	31	4
10574	31	4
10574	31	4
10574	192	1
10574	192	1
10574	172	0
7350	22	1
7350	22	1
7350	320	1
7350	320	1
12689	350	4
12689	350	4
12689	350	4
12689	350	4
12689	350	4
12689	177	1
12689	177	1
6053	672	1
6053	672	1
6053	336	1
6053	336	1
6053	510	1
6053	510	1
6053	393	1
6053	588	1
6053	393	1
6053	588	1
10575	79	1
10575	79	1
17440	46	1
17440	46	1
17440	194	1
17440	194	1
18047	42	2
18047	35	2
18047	35	2
6978	263	2
6978	263	2
6978	263	2
6978	78	0
11521	828	0
10419	59	1
10419	59	1
11103	27	1
11103	27	1
6290	38	1
6290	38	1
8106	292	1
8106	292	1
8106	376	1
8106	376	1
8106	606	0
10765	64	1
10765	64	1
17640	106	7
17640	106	7
17640	106	7
17640	106	7
17640	106	7
17640	106	7
17640	106	7
17640	106	7
17640	201	1
17640	201	1
17640	65	1
17640	65	1
17640	355	0
17640	343	0
10365	32	0
12287	79	2
12287	79	2
12287	79	2
12287	290	2
12287	290	2
12287	290	2
4494	38	2
4494	38	2
4494	38	2
4494	58	1
4494	58	1
4494	297	2
4494	297	2
4494	297	2
4494	310	2
4494	310	2
4494	310	2
4494	597	0
11176	212	0
7267	66	0
7267	562	4
7267	562	4
7267	562	4
7267	562	4
7267	562	4
7267	443	0
3332	24	2
3332	24	2
3332	24	2
3332	114	9
3332	114	9
3332	114	9
3332	114	9
3332	114	9
3332	114	9
3332	114	9
3332	114	9
3332	117	9
3332	117	9
9455	256	1
9455	256	1
9455	191	1
9455	191	1
9311	50	2
9311	50	2
9311	50	2
18233	56	3
18233	60	3
18233	60	3
18233	60	3
18233	131	3
18233	131	3
18233	123	3
18233	123	3
17290	46	0
13470	306	9
13470	306	9
13470	307	9
13470	307	9
13470	307	9
13470	307	9
13470	307	9
13470	307	9
13470	307	9
13470	307	9
13470	85	0
13470	55	1
13470	55	1
14898	136	2
14898	136	2
14898	136	2
12644	238	1
12644	238	1
12644	266	1
12644	268	1
12644	206	1
12644	206	1
8459	102	1
8459	102	1
8459	161	1
8459	161	1
17717	83	2
17717	83	2
17717	83	2
14028	342	1
14028	342	1
14028	565	2
14028	565	2
14028	565	2
14028	393	0
9061	157	4
9061	157	4
9061	157	4
9061	157	4
9061	157	4
16006	110	0
16006	72	0
16006	166	0
12409	178	0
12409	618	0
12409	546	0
12409	382	1
12409	382	1
10803	280	0
15382	203	0
15382	213	0
15173	98	0
15173	81	0
9118	166	0
12622	53	0
15669	287	0
15669	425	0
15669	302	4
15669	302	4
15669	302	4
15669	302	4
15669	302	4
17663	84	0
17663	40	1
17663	40	1
12299	65	0
14879	124	0
14879	133	0
11983	279	0
17194	319	0
17194	93	0
17194	84	1
17194	84	1
17194	374	4
17194	374	4
17194	374	4
17194	374	4
17194	374	4
7549	201	0
7549	444	1
7549	444	1
7549	390	1
7549	390	1
17645	31	0
7083	403	0
7083	309	1
7083	309	1
7083	578	1
7083	578	1
7083	21	0
11793	846	0
11793	877	0
11793	313	1
11793	313	1
11793	446	1
11793	446	1
11793	653	0
18140	75	0
18140	51	7
18140	51	7
18140	51	7
18140	51	7
18140	51	7
18140	51	7
18140	51	7
18140	51	7
18140	182	1
18140	182	1
18140	217	0
12090	212	0
15461	222	0
15461	21	0
15461	142	1
15461	142	1
11171	448	0
11171	24	3
11171	24	3
11171	26	3
11171	26	3
17624	130	0
18075	112	0
18075	551	1
18075	551	1
18075	517	1
18075	517	1
18075	90	4
18075	90	4
18075	90	4
18075	90	4
18075	90	4
5222	223	0
5222	148	0
5222	277	0
5222	232	4
5222	232	4
5222	232	4
5222	232	4
5222	232	4
10938	461	0
10938	419	0
10938	233	1
10938	233	1
10938	335	1
10938	335	1
10938	26	2
10938	26	2
10938	26	2
10938	506	1
10938	506	1
10684	130	0
18396	36	0
18396	108	0
17054	67	0
8378	76	0
8378	112	0
12757	79	0
12757	64	0
12757	160	1
12757	160	1
18025	38	0
11206	64	0
12623	332	0
12623	109	1
12623	109	1
11042	119	0
3555	449	0
3555	40	0
7384	109	0
7384	56	0
7384	324	1
7384	324	1
14152	78	0
14152	19	0
14152	163	0
14152	35	0
7669	601	0
7669	699	0
16989	225	0
12185	597	0
12185	1726	0
12185	1029	0
12185	263	0
12185	323	1
12185	323	1
12185	242	0
12185	1160	0
12185	672	1
12185	672	1
12185	867	1
12185	867	1
10489	401	4
10489	55	1
10489	55	1
10489	397	2
10489	423	1
10489	407	2
10489	397	2
10489	423	1
10489	407	2
12191	568	0
12191	605	0
12191	691	0
12191	782	0
12191	869	0
12191	205	0
12191	270	0
12191	305	0
12191	318	0
12191	471	0
12191	148	1
12191	148	1
12191	878	1
12191	878	1
12191	710	2
12191	710	2
12191	710	2
18663	92	0
18663	19	1
18663	19	1
14935	277	0
14935	249	4
14935	249	4
14935	249	4
14935	249	4
14935	249	4
3446	101	0
13874	389	0
13874	220	0
13874	82	1
13874	82	1
13874	150	1
13874	150	1
10458	166	0
10458	318	0
9857	47	0
9857	323	1
9857	323	1
9857	228	0
18611	72	0
6790	830	2
6790	272	1
6790	272	1
6790	1044	0
6790	627	0
6790	585	0
6790	826	2
6790	826	2
6790	654	1
6790	654	1
11121	658	0
11121	211	0
11121	221	1
11121	221	1
11121	1213	0
11121	1093	0
11121	889	0
18349	57	0
9270	161	0
18251	33	0
18251	121	0
11509	728	0
11509	1179	0
11509	620	0
11509	1139	0
11509	1213	10
11509	1213	10
11509	1213	10
11509	1213	10
11509	1213	10
11509	1213	10
11509	1213	10
11509	1213	10
11509	554	0
11509	457	1
11509	457	1
11509	1196	1
11509	1196	1
11509	1220	10
11509	1220	10
11509	1220	10
11509	809	4
11509	809	4
11509	809	4
11509	809	4
11509	809	4
12526	734	0
12526	433	1
12526	433	1
12526	30	0
11356	654	0
11356	556	1
11356	556	1
11356	322	1
11356	322	1
11356	262	2
11356	262	2
11356	262	2
11356	345	1
11356	762	1
11356	641	4
11356	641	4
11356	641	4
11356	641	4
11356	345	1
11356	762	1
11356	641	4
10182	17	0
18403	162	0
8021	853	1
8021	856	1
8021	274	0
8021	642	2
8021	642	2
8021	642	2
8021	865	9
8021	865	9
8021	865	9
8021	865	9
8021	865	9
8021	865	9
8021	865	9
8021	865	9
8021	872	9
8021	872	9
8021	926	0
8021	107	0
8021	198	0
8021	410	1
8021	410	1
8021	705	0
7146	838	1
7146	840	1
7146	573	7
7146	573	7
7146	573	7
7146	573	7
7146	573	7
7146	573	7
7146	573	7
7146	573	7
7146	215	0
7146	608	2
7146	235	1
7146	235	1
7146	585	2
7146	585	2
7146	585	2
7146	610	2
7146	610	2
17002	282	0
17002	152	0
4149	409	0
4149	432	1
4149	432	1
4149	213	1
4149	213	1
16096	242	0
16096	333	0
12147	262	0
12147	338	2
12147	338	2
12147	338	2
12147	97	7
12147	97	7
12147	97	7
12147	97	7
12147	97	7
12147	97	7
12147	97	7
12147	97	7
12147	223	0
9764	488	0
9764	554	7
9764	554	7
9764	554	7
9764	554	7
9764	554	7
9764	554	7
9764	554	7
9764	554	7
10282	186	0
10282	228	0
10282	401	0
10282	373	0
10282	361	1
10282	361	1
11345	362	0
11345	159	2
11345	159	2
11345	159	2
16954	357	0
16058	141	0
16058	21	0
16058	32	1
16058	32	1
10032	122	0
10032	343	1
10032	343	1
12172	1110	0
12172	978	0
9035	605	0
9035	486	0
9035	594	1
9035	594	1
9035	331	1
9035	331	1
9035	466	1
9035	466	1
7025	282	0
7025	356	1
7025	356	1
11912	90	0
11912	120	1
11912	120	1
12061	83	0
12061	107	0
15068	181	0
12338	39	0
16712	133	1
16712	129	1
17805	20	0
17805	68	0
17482	225	3
17482	503	0
17482	217	3
17482	217	3
17482	217	3
18032	23	0
18032	145	0
7876	695	0
7876	207	0
7876	472	0
7876	525	2
7876	525	2
7876	525	2
7876	37	1
7876	37	1
7876	822	0
18393	98	0
14369	158	0
14369	364	1
14369	364	1
10384	309	0
10384	241	1
10384	241	1
18551	93	0
18551	81	0
12869	46	0
12869	56	1
12869	56	1
626	41	0
626	297	2
626	462	1
626	462	1
626	291	2
626	207	0
626	291	2
11440	124	0
11440	202	1
11440	202	1
11440	599	1
11440	599	1
8548	462	0
8548	290	0
7482	122	0
7482	554	0
7482	289	1
7482	636	1
7482	289	1
7482	636	1
7482	354	1
7482	354	1
5599	118	0
5599	787	0
5599	552	0
5599	201	1
5599	201	1
7368	303	2
7368	296	2
7368	296	2
18191	103	0
18191	48	0
15011	527	0
15011	301	1
15011	305	1
15011	288	0
4935	113	0
7706	257	0
7706	446	0
11361	434	0
11361	70	1
11361	70	1
11361	1067	1
11361	1067	1
11361	1120	1
11361	1120	1
11361	966	1
11361	966	1
11361	672	2
11361	698	2
11361	672	2
11361	698	2
11361	672	2
11361	698	2
11361	152	1
11361	152	1
8608	503	0
8608	261	1
8608	261	1
8608	181	2
8608	181	2
8608	181	2
12145	20	0
2916	26	0
10856	330	0
10856	379	0
10856	224	0
8837	30	0
8587	589	0
8587	17	1
8587	480	1
8587	17	1
8587	480	1
15860	180	0
15860	264	1
15860	266	1
15860	279	1
15860	279	1
7236	40	0
14886	93	0
11478	146	0
9641	446	0
9641	259	0
3907	325	0
3907	209	0
3907	239	0
3907	251	1
3907	251	1
3907	751	0
12427	213	0
12427	161	0
12427	374	1
12427	374	1
4433	362	0
4433	388	2
4433	391	2
4433	391	2
17286	148	0
11785	475	0
11785	495	1
11785	495	1
11785	370	4
11785	370	4
11785	370	4
11785	370	4
11785	370	4
18246	46	1
18246	46	1
18246	58	0
5393	367	0
11808	403	3
11808	405	3
11808	408	3
11808	411	3
11808	434	1
11808	434	1
11465	422	0
11465	199	1
11465	199	1
11465	153	0
10019	344	0
10019	674	1
10019	674	1
10019	581	0
10019	20	1
10019	20	1
10019	256	2
10019	256	2
10019	256	2
15086	183	0
7892	391	0
7892	450	1
7892	450	1
6149	407	0
6149	89	0
6149	284	1
6149	284	1
6149	182	2
6149	182	2
6149	182	2
14098	688	0
12075	661	0
12075	1063	1
12075	1063	1
12075	228	2
12075	287	2
12075	228	2
12075	287	2
12075	228	2
12075	287	2
5237	873	0
5237	77	0
5237	754	7
5237	754	7
5237	754	7
5237	754	7
5237	754	7
5237	754	7
5237	754	7
5237	754	7
5237	443	1
5237	443	1
5237	303	1
5237	303	1
5237	844	1
5237	844	1
7011	135	0
7011	87	4
7011	87	4
7011	87	4
7011	87	4
7011	87	4
9915	240	0
9915	383	1
9915	383	1
7038	225	0
17971	98	0
16206	34	0
10535	1047	0
10535	509	0
10535	418	0
10535	828	0
15236	206	0
15236	31	0
16673	143	0
17826	98	0
18951	139	0
12073	556	0
12073	390	0
131	263	0
9003	651	0
8054	68	0
8054	125	1
8054	125	1
16354	277	0
16354	249	4
16354	249	4
16354	249	4
16354	249	4
16354	249	4
9940	397	0
9940	321	0
9940	207	7
9940	207	7
9940	207	7
9940	207	7
9940	207	7
9940	207	7
9940	207	7
9940	207	7
18891	74	0
18891	55	1
18891	55	1
5184	211	0
5184	71	0
5184	424	2
5184	48	0
5184	371	7
5184	371	7
5184	371	7
5184	371	7
5184	371	7
5184	371	7
5184	371	7
5184	371	7
5184	550	0
5184	427	2
5184	427	2
17802	71	0
15386	56	0
15386	502	0
4244	136	0
4244	808	0
4244	618	0
4244	388	0
4244	363	0
4244	779	1
4244	779	1
16976	138	1
16976	140	1
11174	167	0
12321	198	0
12341	158	0
12341	30	0
3114	553	0
3114	161	0
3114	54	1
3114	54	1
16652	245	0
18548	48	0
18548	101	0
3763	537	0
3763	448	0
3763	61	0
12326	55	0
10833	221	0
18020	249	0
18020	154	0
18020	211	0
17158	124	1
17158	126	1
17158	24	0
17158	140	4
17158	140	4
17158	140	4
17158	140	4
17158	140	4
8491	35	2
8491	480	0
8491	152	0
8491	518	5
8491	362	1
8491	138	0
8491	356	1
8491	34	2
8491	567	1
8491	564	1
8491	312	0
8491	521	5
8491	521	5
8491	521	5
8491	521	5
8491	521	5
8491	35	2
2907	9358	0
2907	10130	3
2907	10130	3
2907	10898	3
2907	10898	3
2907	12973	3
2907	12973	3
2907	1283	3
2907	1283	3
2907	8377	3
2907	8377	3
2907	2283	0
2907	12599	0
2907	9493	0
2907	7952	0
2907	9450	1
2907	9682	1
2907	4666	1
2907	6554	1
2907	10663	0
2907	6820	0
2907	11329	5
2907	3860	0
2907	12188	0
2907	1166	0
2907	2394	0
2907	5044	0
2907	9414	0
2907	3639	1
2907	6771	0
2907	9911	0
2907	11083	0
2907	8569	0
2907	14875	0
2907	3607	0
2907	3634	1
2907	7630	0
2907	12694	0
2907	13346	0
2907	9133	0
2907	655	0
2907	11171	0
2907	742	1
2907	2163	1
2907	2515	0
2907	6282	0
2907	6927	0
2907	8962	0
2907	1607	0
2907	2505	0
2907	3154	0
2907	3806	0
2907	4996	0
2907	127	0
2907	8314	0
2907	436	0
2907	14500	0
2907	3431	0
2907	361	0
2907	6242	0
2907	11412	0
2907	6780	0
2907	5727	0
2907	11355	0
2907	1721	0
2907	7963	0
2907	2778	0
2907	4688	0
2907	8083	0
2907	77	1
2907	14564	0
2907	84	1
2907	11817	0
2907	3742	0
2907	4678	0
2907	5655	0
2907	12314	0
2907	10582	0
2907	7027	0
2907	7508	3
2907	12973	3
2907	10130	3
2907	10898	3
2907	1283	3
2907	8377	3
2907	13335	1
2907	13506	1
2907	2242	1
2907	13335	1
2907	13506	1
2907	2242	1
2907	7237	0
2907	7745	0
2907	12956	0
2907	1417	0
2907	5364	1
2907	8990	1
2907	266	1
2907	5364	1
2907	8990	1
2907	266	1
2907	6052	1
2907	6052	1
2907	4269	1
2907	9181	1
2907	2162	1
2907	741	1
2907	682	0
2907	4269	1
2907	9181	1
2907	12973	3
2907	10130	3
2907	10898	3
2907	1283	3
2907	8377	3
2907	2882	1
2907	9528	1
2907	2882	1
2907	9528	1
2907	290	1
2907	3997	1
2907	7531	1
2907	290	1
2907	3997	1
2907	7531	1
2907	7505	3
2907	7505	3
2907	7505	3
2907	11499	1
2907	2444	1
2907	2704	1
2907	7871	1
2907	11325	5
2907	11325	5
2907	11325	5
2907	11325	5
2907	11499	1
2907	2444	1
2907	2704	1
2907	7871	1
2907	11325	5
2907	10541	0
2907	885	0
2907	4666	1
2907	6554	1
2907	9450	1
2907	9682	1
5648	359	0
5648	1434	0
5648	1054	0
5648	1530	0
5648	1583	0
5648	122	0
5648	98	0
5648	1315	3
5648	1564	1
5648	1315	3
5648	1564	1
5648	1309	3
5648	1309	3
441	5865	0
441	9465	0
441	12106	1
441	14796	0
441	16077	0
441	91	0
441	1693	0
441	2080	0
441	7673	3
441	7673	3
441	16735	3
441	16735	3
441	17159	3
441	17159	3
441	1495	3
441	1495	3
441	14950	1
441	15795	0
441	4304	3
441	4304	3
441	12455	0
441	5643	0
441	14343	0
441	1681	0
441	3271	0
441	4272	0
441	8218	0
441	11311	0
441	1211	0
441	16851	0
441	2882	1
441	9762	0
441	9917	0
441	13654	0
441	16147	0
441	16572	2
441	11339	0
441	8753	1
441	9341	0
441	1039	1
441	7035	0
441	8378	0
441	1952	0
441	7589	0
441	3018	0
441	12482	0
441	16805	0
441	940	0
441	10250	2
441	14474	0
441	1648	1
441	1034	1
441	11099	0
441	4385	0
441	6904	0
441	17756	0
441	1567	0
441	3192	0
441	16637	0
441	11920	1
441	15744	0
441	17447	0
441	1791	0
441	10664	0
441	10760	0
441	15994	0
441	8750	1
441	11191	0
441	12519	0
441	17456	0
441	17648	0
441	11274	0
441	11917	1
441	12253	0
441	13518	0
441	2774	0
441	4374	0
441	12817	0
441	4976	0
441	12101	1
441	14943	1
441	4338	0
441	4676	0
441	5353	0
441	9828	0
441	6627	2
441	12806	0
441	11076	0
441	16956	0
441	17056	0
441	4319	0
441	822	7
441	822	7
441	822	7
441	822	7
441	822	7
441	822	7
441	822	7
441	822	7
441	931	1
441	931	1
441	1644	1
441	2396	1
441	2396	1
441	5717	1
441	5717	1
441	6623	2
441	6623	2
441	16181	1
441	16181	1
441	16980	2
441	16980	2
441	16980	2
441	17724	4
441	17724	4
441	17724	4
441	17724	4
441	17724	4
441	1495	3
441	16735	3
441	17159	3
441	7673	3
441	7369	1
441	450	1
441	7369	1
441	450	1
441	5980	0
441	1989	0
441	10103	0
441	10887	0
441	15224	0
441	6481	0
441	3625	0
441	8534	0
441	14838	0
441	4304	3
441	4304	3
441	16577	2
441	10246	2
441	13470	1
441	16577	2
441	10246	2
441	13470	1
441	3822	1
441	3822	1
441	11628	1
441	15346	1
441	15514	1
441	17121	0
441	11628	1
441	15346	1
441	15514	1
441	1495	3
441	16735	3
441	17159	3
441	7673	3
441	4719	1
441	7339	1
441	15289	1
441	2587	1
441	4719	1
441	7339	1
441	15289	1
441	2587	1
441	2563	1
441	16030	1
441	2563	1
441	16030	1
441	15210	2
441	15210	2
441	15210	2
441	2725	1
441	9626	1
441	5561	4
441	15638	4
441	11265	4
441	5561	4
441	15638	4
441	11265	4
441	5561	4
441	15638	4
441	11265	4
441	5561	4
441	15638	4
441	11265	4
441	2725	1
441	9626	1
441	5561	4
441	15638	4
441	11265	4
441	2882	1
3408	10298	0
3408	844	0
3408	5061	0
3408	8093	3
3408	8093	3
3408	2175	3
3408	2175	3
3408	4942	4
3408	4942	4
3408	9972	0
3408	3145	0
3408	995	0
3408	7515	0
3408	3326	0
3408	7207	3
3408	5759	0
3408	6944	2
3408	9440	2
3408	10495	1
3408	3430	1
3408	5047	0
3408	8281	0
3408	8760	0
3408	8004	0
3408	9659	0
3408	3660	0
3408	5452	0
3408	9415	0
3408	1782	0
3408	4753	0
3408	1826	0
3408	4010	0
3408	6469	0
3408	1457	0
3408	4236	0
3408	4935	5
3408	8103	0
3408	11169	0
3408	414	0
3408	6494	0
3408	3171	0
3408	952	0
3408	6078	0
3408	1998	0
3408	8044	0
3408	8299	2
3408	8301	2
3408	8304	2
3408	8330	0
3408	2425	1
3408	2427	1
3408	4398	0
3408	5939	0
3408	9829	0
3408	3008	0
3408	5683	0
3408	8159	0
3408	8600	0
3408	6129	0
3408	6943	2
3408	9439	2
3408	4952	0
3408	8952	0
3408	9071	0
3408	4930	1
3408	2973	7
3408	2973	7
3408	2973	7
3408	2973	7
3408	2973	7
3408	2973	7
3408	2973	7
3408	2973	7
3408	4375	1
3408	4375	1
3408	6326	0
3408	7215	3
3408	7215	3
3408	7215	3
3408	8411	1
3408	8411	1
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	1357	7
3408	1721	7
3408	4942	4
3408	2175	3
3408	8093	3
3408	7446	1
3408	7446	1
3408	2490	1
3408	9713	3
3408	10566	1
3408	2490	1
3408	9713	3
3408	10566	1
3408	4999	0
3408	8901	0
3408	9484	0
3408	4648	0
3408	1493	0
3408	9844	0
3408	1590	1
3408	9718	3
3408	1590	1
3408	9718	3
3408	10810	1
3408	5595	2
3408	10810	1
3408	5595	2
3408	4942	4
3408	2175	3
3408	8093	3
3408	8465	1
3408	3908	1
3408	8465	1
3408	3908	1
3408	9347	1
3408	9347	1
3408	10794	1
3408	4771	1
3408	10794	1
3408	4771	1
3408	6623	2
3408	6623	2
3408	6623	2
3408	5598	2
3408	5917	0
3408	6007	0
3408	10495	1
3408	3430	1
3408	6944	2
3408	9440	2
17883	254	1
17883	254	1
5030	6164	0
5030	8557	0
5030	9277	0
5030	4029	0
5030	4312	0
5030	6248	3
5030	6248	3
5030	4487	3
5030	4487	3
5030	5398	0
5030	7772	0
5030	9138	0
5030	9955	7
5030	9955	7
5030	9958	7
5030	9958	7
5030	10189	1
5030	6545	0
5030	1035	0
5030	4967	0
5030	8504	0
5030	9837	0
5030	9338	0
5030	8258	0
5030	2595	0
5030	9100	0
5030	7724	0
5030	1247	0
5030	1161	0
5030	6223	0
5030	8795	0
5030	6155	0
5030	1586	0
5030	4440	0
5030	4360	0
5030	2943	0
5030	6190	0
5030	8769	0
5030	614	1
5030	614	1
5030	7133	7
5030	7133	7
5030	7133	7
5030	7133	7
5030	7133	7
5030	7133	7
5030	7133	7
5030	7133	7
5030	1853	0
5030	6050	0
5030	4487	3
5030	6248	3
5030	7758	1
5030	8411	1
5030	9120	1
5030	7758	1
5030	8411	1
5030	9120	1
5030	7585	1
5030	7585	1
5030	2481	1
5030	2488	1
5030	5186	0
5030	5825	0
5030	9955	7
5030	9958	7
5030	9955	7
5030	9958	7
5030	1910	1
5030	540	1
5030	10257	1
5030	4200	1
5030	1910	1
5030	540	1
5030	10257	1
5030	4200	1
5030	5198	1
5030	2069	1
5030	5198	1
5030	2069	1
5030	4487	3
5030	6248	3
5030	5666	1
5030	6750	1
5030	6502	1
5030	7017	1
5030	5666	1
5030	6750	1
5030	6502	1
5030	7017	1
5030	3028	1
5030	3028	1
5030	1634	1
5030	3756	1
5030	1634	1
5030	3756	1
5030	2101	2
5030	7196	2
5030	2101	2
5030	7196	2
5030	2101	2
